0	0	0	2	0	2	12	1	0	0	0	18	18	0	2	25	25	0	0	0	4	9	13	14	0	0	0	0	8	4	1	1	11	13	18	18	0	0	0	0	0	2	2	8	8	
0	0	0	2	0	4	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	9	9	0	0	0	0	10	8	0	0	0	1	11	17	0	0	0	0	0	0	1	2	8	8	
0	0	0	0	0	4	3	3	1	0	0	0	0	3	0	0	0	0	0	8	4	9	0	0	0	0	0	10	8	0	0	0	0	0	11	0	0	0	0	0	0	2	15	15	15	
9	8	0	0	3	9	4	3	6	6	0	0	0	0	0	0	0	0	0	11	11	11	0	0	0	0	12	12	12	0	0	0	0	0	13	0	0	0	0	0	0	1	1	8	15	
9	4	0	0	0	9	9	3	0	0	0	0	0	0	0	0	0	0	5	5	12	0	0	0	0	0	17	17	11	0	0	0	0	0	0	0	4	0	0	6	0	2	0	0	0	
8	8	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	25	233	236	240	215	25	12	10	0	0	5	6	13	8	13	8	11	8	4	0	0	0	0	
0	0	0	0	0	0	0	6	0	0	0	0	0	0	16	13	13	0	14	10	10	0	219	240	254	254	240	217	213	11	10	5	6	6	4	4	16	16	11	4	4	5	0	0	0	
0	0	0	0	0	0	1	6	6	10	15	9	0	0	0	0	13	9	10	10	16	210	234	249	249	249	247	237	221	213	10	8	14	14	6	3	5	5	0	0	3	3	0	0	12	
0	0	0	0	9	12	11	5	5	6	15	15	9	0	5	5	13	13	16	20	203	222	233	249	249	249	247	250	255	221	8	3	14	14	0	0	0	0	0	0	3	11	11	0	0	
0	0	0	0	9	1	11	0	5	5	16	21	21	13	6	5	5	12	23	203	239	238	239	249	247	247	247	255	255	255	30	10	14	14	0	0	0	0	0	0	11	0	0	0	0	
1	0	0	0	12	12	12	0	5	5	11	16	13	13	7	6	5	12	23	203	239	238	238	233	35	35	211	255	255	255	231	10	7	7	5	5	0	0	0	0	0	0	0	0	0	
2	2	1	0	0	0	10	0	2	2	9	9	9	12	7	1	0	0	19	224	244	239	239	220	8	8	35	255	255	253	246	51	7	5	0	0	0	0	0	0	0	0	0	0	0	
8	13	6	0	0	2	10	5	5	2	2	0	7	12	8	1	0	0	0	224	247	247	239	8	1	3	37	211	246	246	246	230	0	0	0	0	0	0	0	0	0	1	0	0	0	
21	21	13	0	0	0	2	2	0	0	0	1	7	14	14	14	0	0	0	255	255	247	230	1	1	1	11	62	244	246	252	241	25	0	4	0	0	0	0	3	0	1	0	0	0	
32	26	22	0	0	0	2	2	0	0	0	4	9	10	14	23	23	23	255	255	255	255	230	0	0	0	9	37	238	255	255	252	39	33	22	9	0	0	0	3	0	3	0	0	0	
32	0	0	0	0	0	0	0	0	0	0	1	9	10	14	23	29	255	255	255	254	230	21	0	0	0	4	9	238	255	255	255	226	39	22	20	0	0	0	0	0	3	6	0	7	
23	0	0	0	0	0	0	0	5	5	0	3	8	9	3	3	234	255	254	237	233	43	19	0	0	0	3	4	12	255	255	255	226	33	6	9	6	14	0	5	0	5	6	6	18	
0	0	0	0	0	2	0	0	5	5	0	0	6	7	1	46	255	255	255	237	43	0	0	17	18	10	4	4	12	210	255	255	226	43	0	6	4	14	0	5	0	3	3	0	18	
0	0	0	0	0	0	0	2	17	14	0	0	3	6	11	235	241	255	238	236	16	0	0	17	19	17	10	3	0	182	221	255	243	199	0	0	0	4	0	0	0	0	3	7	18	
4	0	0	0	0	0	0	0	5	5	0	0	1	3	15	241	255	255	255	16	0	0	0	0	18	16	11	4	1	28	251	255	255	243	32	0	0	0	0	0	0	0	7	8	44	
0	0	0	6	6	6	0	5	5	5	0	0	0	3	24	241	248	255	238	17	16	0	0	0	17	14	11	4	0	4	238	255	255	255	32	0	0	0	0	0	0	0	0	5	18	
6	4	0	6	9	14	0	0	3	4	3	0	0	1	226	248	255	255	216	17	16	9	9	10	10	8	7	4	1	4	193	251	251	247	229	17	7	0	0	0	10	0	5	5	29	
16	15	0	5	14	15	0	0	0	0	4	1	1	48	236	255	255	255	235	18	18	18	5	11	8	8	5	13	13	64	238	248	250	250	247	225	12	0	0	11	15	15	15	5	5	
17	15	0	5	14	15	0	0	0	0	17	18	42	239	248	248	251	251	251	28	28	26	18	18	11	11	8	230	243	250	253	250	250	250	255	232	14	10	0	0	22	26	26	29	29	
16	3	5	6	12	12	0	0	0	0	14	48	239	248	253	238	248	248	251	235	254	254	249	247	247	255	251	251	251	255	253	250	255	255	255	232	27	10	0	12	17	17	15	16	16	
3	3	6	6	0	4	4	12	0	0	42	217	248	248	248	238	246	248	255	255	255	255	255	255	255	255	255	255	249	255	253	253	255	255	243	232	41	0	0	0	0	2	0	2	2	
3	3	6	1	0	0	0	0	0	0	200	251	253	245	238	231	237	231	240	239	242	245	245	247	255	255	255	251	240	231	226	231	253	247	243	238	221	0	0	0	8	2	0	2	2	
0	1	1	0	0	0	0	0	5	35	230	255	255	255	224	29	40	29	63	237	237	237	231	241	241	255	249	223	28	1	0	63	238	243	243	239	228	0	0	0	0	0	0	2	2	
0	0	0	0	0	0	0	0	5	230	255	255	255	245	14	14	15	15	24	15	11	7	10	10	10	6	6	8	1	0	0	0	63	238	243	243	250	228	11	3	3	0	0	14	14	
0	0	0	0	0	0	0	1	10	231	255	255	255	29	0	0	2	4	4	4	7	2	6	4	6	0	0	0	0	0	0	1	18	215	244	254	250	242	207	16	14	0	0	0	3	
